;Utility;Promo;Behave;PBS;Check;Amount;Calc;Consumption;Peak;Influence;MoveGreen;SmartMeter;Smdata;Useful;Analysis;Contact;Dialog;Messages;Personal;Analysis2;Change;Reif;Home;How;Many;Age;A;B
1;3;0;10;1;6;0;0;3;0;1;1;0;0;1;1;0;1;2;4;1;1;1;5;2;2;4;1;1
2;6;5;10;0;5;1;0;2;0;1;1;0;0;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2
3;4;4;10;0;1;1;0;3;0;1;1;0;0;0;1;0;1;1;5;1;1;1;3;1;2;1;3;3
4;4;3;9;0;1;1;0;7;0;1;1;1;0;1;1;1;1;2;3;1;1;1;3;1;1;1;4;4
5;1;2;4;1;2;1;0;1;1;1;1;1;0;1;0;0;1;1;8;0;1;1;2;1;2;3;5;5
6;2;2;5;1;3;1;0;0;0;1;1;0;0;0;0;0;0;3;3;1;0;1;1;2;2;1;6;6
7;1;6;10;1;2;1;0;3;0;1;1;0;0;0;1;0;0;1;0;1;1;1;2;1;2;1;7;7
8;2;5;7;1;1;1;1;3;1;1;1;1;1;1;1;0;1;2;6;1;1;1;1;1;1;1;8;8
9;3;2;10;1;5;1;0;2;0;1;1;1;0;1;1;1;1;2;0;1;1;1;3;1;1;1;9;9
10;3;7;6;1;1;1;0;5;0;1;1;1;0;1;1;1;0;1;4;1;1;1;1;1;2;1;10;10
11;1;5;10;1;5;1;0;0;0;1;1;1;0;0;1;1;0;2;0;1;1;1;2;1;2;1;11;11
12;6;1;9;1;1;1;0;5;0;1;1;0;0;0;1;0;1;1;2;1;1;1;1;1;2;1;12;12
13;1;2;9;0;2;1;0;4;1;1;1;0;0;1;0;0;0;3;3;1;1;1;2;2;4;3;13;13
14;2;6;10;1;1;1;0;7;0;1;0;0;0;0;1;1;1;1;5;1;1;1;1;1;2;1;14;14
15;5;5;3;1;3;1;0;3;0;0;0;1;0;1;1;0;1;2;2;1;1;1;4;2;2;1;15;15
16;5;5;3;1;2;1;0;5;1;0;1;1;0;1;0;0;0;3;0;1;0;0;4;2;3;1;16;16
17;1;4;10;1;2;1;1;7;1;1;1;1;0;1;1;1;0;1;7;1;1;1;2;1;3;2;17;17
18;2;2;10;1;3;1;0;3;0;1;1;0;0;1;1;0;1;2;9;1;1;1;1;1;1;2;18;18
19;1;2;10;0;3;1;0;0;0;1;1;0;0;1;1;0;1;1;5;1;1;1;2;2;3;1;19;19
20;1;5;6;1;2;1;1;6;1;0;1;1;1;0;0;0;0;1;5;1;1;1;2;2;2;2;20;20
21;4;5;8;1;2;1;0;7;1;0;1;1;1;1;0;1;1;1;5;1;1;1;3;1;1;2;21;21
22;2;3;10;1;1;1;0;5;0;1;1;0;0;1;1;1;1;2;6;1;1;1;1;1;2;2;22;22
23;2;0;5;1;3;1;0;7;1;0;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;2;23;23
24;2;2;8;1;4;1;0;6;0;1;1;1;0;1;0;0;1;1;7;1;1;0;1;1;1;1;24;24
25;5;4;8;1;4;1;0;9;1;1;1;1;0;0;0;0;0;1;3;0;1;1;4;2;3;3;25;25
26;2;2;10;0;5;1;0;1;0;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;3;2;26;26
27;1;7;6;1;1;1;0;3;0;1;1;1;1;1;0;1;1;1;3;0;0;1;1;1;2;1;27;27
28;2;1;10;1;1;1;0;4;1;1;1;0;0;1;1;1;0;2;3;1;1;1;1;1;3;1;28;28
29;2;4;7;1;1;0;1;8;1;0;0;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;29;29
30;1;2;3;1;3;1;0;0;0;1;1;1;0;1;1;1;1;2;2;1;1;1;1;2;3;2;30;30
31;2;7;10;1;4;0;1;8;1;1;1;1;1;1;1;1;0;1;7;0;1;1;1;2;2;1;31;31
32;1;4;10;1;2;1;0;4;1;1;1;1;0;1;1;1;1;2;7;1;1;1;2;1;2;3;32;32
33;2;2;6;1;2;1;0;6;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;33;33
34;4;9;8;0;1;1;0;7;0;1;1;1;0;1;1;1;1;2;1;1;1;1;3;1;1;1;34;34
35;3;5;5;1;4;1;0;10;1;1;1;1;0;1;1;1;0;1;6;0;0;1;1;2;2;4;35;35
36;1;9;9;1;2;1;1;8;1;0;1;1;0;1;1;1;1;1;3;1;1;1;2;2;3;3;36;36
37;1;3;3;1;3;0;0;8;0;1;1;1;0;1;1;1;1;1;3;1;1;1;2;2;3;3;37;37
38;1;5;8;1;1;1;0;5;1;1;0;1;0;1;0;0;1;1;4;0;0;0;2;2;2;3;38;38
39;2;5;6;1;1;1;0;8;1;1;1;1;0;1;1;0;1;2;2;1;1;0;5;2;2;3;39;39
40;1;4;10;1;1;1;0;7;1;1;1;0;0;1;0;0;0;3;2;1;1;1;2;2;1;5;40;40
41;2;5;7;1;1;1;1;7;1;0;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;41;41
42;1;1;7;1;2;1;0;5;1;1;1;1;0;1;1;0;1;1;1;1;1;1;2;1;1;4;42;42
43;3;3;7;1;2;1;0;5;1;1;1;1;1;1;0;0;0;2;7;0;0;0;4;2;2;4;43;43
44;1;5;8;1;1;1;0;9;0;1;1;0;0;0;0;1;1;1;0;1;1;1;2;1;2;1;44;44
45;4;5;8;1;1;0;1;9;1;1;1;1;1;1;1;1;0;2;2;1;1;1;3;2;3;4;45;45
46;1;5;8;1;2;1;0;7;0;1;1;1;0;1;1;1;1;1;7;1;1;1;2;1;1;4;46;46
47;4;2;10;1;1;1;0;8;1;1;1;1;0;1;1;0;1;1;5;1;1;0;3;2;2;1;47;47
48;3;0;10;1;1;0;0;7;1;0;1;1;1;1;1;0;1;1;1;1;1;1;5;2;2;3;48;48
49;1;2;9;1;4;1;1;6;1;1;1;0;0;0;1;1;1;1;2;1;1;0;2;2;3;3;49;49
50;1;6;2;0;1;1;0;2;0;1;0;0;0;0;0;1;1;1;5;1;1;1;2;1;3;2;50;50
51;1;5;8;1;2;1;0;5;1;0;1;1;1;1;1;0;1;2;2;1;1;1;2;1;1;2;51;51
52;3;0;0;1;1;0;1;10;1;0;1;1;1;1;0;1;1;1;5;1;0;1;2;2;3;4;52;52
53;2;5;0;1;4;0;1;9;1;0;1;1;1;1;0;1;0;1;3;1;1;0;1;1;2;4;53;53
